id;artist_name;track_name;release_date;genre;danceability;loudness;valence;energy
7540;robert palmer;not a second time;1980;pop;0.6718293079172535;0.6674101992154449;0.6290189612530914;0.7577501919979882
7548;the psychedelic furs;wedding song;1980;pop;0.6122603704104842;0.776735122939261;0.6331409727947238;0.6186067072365022
7562;yoko ono;i'm moving on;1980;pop;0.7238167442867974;0.7326615901340922;0.6238664468260511;0.7487409016177482
7569;roxy music;eight miles high;1980;pop;0.6014296545001625;0.7358664718098606;0.8639736191261335;0.756749159733517
7578;andy gibb;after dark;1980;pop;0.7530596772446659;0.7314309155705971;0.9659934047815333;0.7357274821796236
7623;the b-52's;party out of bounds;1980;pop;0.6425863749593849;0.7054329154167628;0.701154163231657;0.8538492893872159
7673;olivia newton-john;magic;1980;pop;0.6913245965558323;0.7605825192933876;0.6084089035449298;0.6186067072365022
7687;olivia newton-john;xanadu;1980;pop;0.6415033033683527;0.7190985308822397;0.7908079142621598;0.641630449319338
7693;japan;gentlemen take polaroids;1980;pop;0.6469186613235136;0.7096889982821833;0.7619538334707338;0.7507429661466903
7698;pretenders;up the neck;1980;pop;0.6274233726849344;0.7210727379945132;0.7207337180544104;0.8648606442963984
7727;ambrosia;livin' on my own;1980;pop;0.6566663056428029;0.6876650514063021;0.7197032151690024;0.6876779334850097
7752;x;los angeles;1980;pop;0.6057619408642911;0.7671461169653615;0.7197032151690024;0.7697625791716417
7771;carole king;dancin' with tears in my eyes;1980;pop;0.7086537420123471;0.7399687203548444;0.766075845012366;0.6456345783772226
7779;peter gabriel;i don't remember;1980;pop;0.7281490306509262;0.7174319924108401;0.6248969497114591;0.8608565152385138
7786;oingo boingo;imposter;1981;pop;0.6956568829199612;0.6239520036920236;0.726916735366859;0.8738699346766384
7813;the go-go's;you can't walk in your sleep (if you can't sleep);1981;pop;0.6967399545109932;0.7328923416147475;0.9422918384171475;0.9129101929910123
7817;brian eno;the jezebel spirit;1981;pop;0.7638903931549876;0.7690177678640104;0.9598103874690849;0.9169143220488967
7834;tom petty and the heartbreakers;letting you go;1981;pop;0.6274233726849344;0.7363279747711714;0.7042456718878812;0.7917852889900063
7860;altered images;i could be happy;1981;pop;0.6480017329145458;0.7519421582955157;0.6187139323990106;0.7687615469071706
7879;the stranglers;everybody loves you when you're dead;1981;pop;0.6599155204158995;0.6234648616773069;0.6908491343775762;0.7767698050229395
7885;the durutti column;never known;1981;pop;0.6620816635979638;0.6480270748403969;0.7444352844187963;0.689679998013952
7897;elvis costello & the attractions;you'll never be a man;1981;pop;0.6350048738221598;0.7259185190882752;0.8052349546578731;0.7317233531217391
7912;x;we're desperate;1981;pop;0.6285064442759667;0.7444811937543265;0.6506595218466611;0.7747677404939973
7916;rick springfield;human touch;1981;pop;0.7346474601971191;0.7945799041099402;0.9031327287716405;0.8818781927924073
7917;the pointer sisters;should i do it;1981;pop;0.6545001624607386;0.7953490757121247;0.7485572959604286;0.8037976761636598
7920;chaka khan;we got each other;1981;pop;0.7584750351998268;0.6744865779555418;0.804204451772465;0.6856758689560675
7932;elvis costello & the attractions;strict time;1981;pop;0.6187587999566772;0.7000487142014716;0.9721764220939819;0.9489473545119727
7940;soft cell;chips on my shoulder;1981;pop;0.6252572295028702;0.6600774299412865;0.8845836768342951;0.8548503216516872
